system:time_start,B1,B1_interpolate,B1_phenology
2005-02-15,0.9019,0.9019,
2005-02-16,,1.1282333333333334,
2005-02-17,1.3545666666666667,1.3545666666666667,
2005-02-18,1.2713333333333334,1.2713333333333334,
2005-02-19,1.4744333333333333,1.4744333333333333,
2005-02-20,,,
2005-02-21,,1.2713333333333334,
2005-02-22,,1.3082555555555555,
2005-02-23,,1.179,
2005-02-24,,1.0627888888888888,
2005-02-25,,1.1136444444444444,
2005-02-26,1.179,1.179,
2005-02-27,0.6623,0.6623,
2005-02-28,,0.7662777777777778,
2005-03-01,0.8702555555555556,0.8702555555555556,
2005-03-02,1.1136444444444444,1.1136444444444444,
2005-03-03,0.9913111111111113,0.9913111111111113,
2005-03-04,,1.010822222222222,
2005-03-05,1.030333333333333,1.030333333333333,
2005-03-06,,0.9873071428571428,
2005-03-07,,1.010822222222222,
2005-03-08,,0.9281833333333332,
2005-03-09,,0.8771083333333334,
2005-03-10,0.8260333333333334,0.8260333333333334,
2005-03-11,,0.747438888888889,
2005-03-12,,0.6688444444444445,
2005-03-13,,0.6688444444444445,
2005-03-14,,,
2005-03-15,0.5116555555555555,0.5116555555555555,
2005-03-16,,,
2005-03-17,,,
2005-03-18,,,
2005-03-19,,,
2005-03-20,,,
2005-03-21,,,
2005-03-22,,,
2005-03-23,,,
2005-03-24,,,
2005-03-25,,,
2005-03-26,,,
2005-03-27,,,
2005-03-28,,,
2005-03-29,,,
2005-03-30,,,
2005-03-31,,,
2005-04-01,,,
2005-04-02,,,
2005-04-03,0.9208,0.9208,
2005-04-04,1.0300333333333334,1.0300333333333334,
2005-04-05,,0.8899333333333334,
2005-04-06,0.7498333333333334,0.7498333333333334,
2005-04-07,0.8216333333333333,0.8216333333333333,
2005-04-08,0.9515666666666668,0.9515666666666668,
2005-04-09,,0.804807403219541,
2005-04-10,,0.8175234498103461,
2005-04-11,,0.8330570931816101,
2005-04-12,0.6834802329540253,0.6834802329540253,
2005-04-13,,0.7987317831436793,
2005-04-14,0.9139833333333334,0.9139833333333334,
2005-04-15,0.9585333333333332,0.9585333333333332,
2005-04-16,0.9269,0.9269,
2005-04-17,0.965568550995418,0.965568550995418,
2005-04-18,,0.9079272342579704,
2005-04-19,0.8502859175205231,0.8502859175205231,
2005-04-20,0.8603888888888889,0.8603888888888889,
2005-04-21,0.9530333333333332,0.9530333333333332,
2005-04-22,,0.8692333333333333,
2005-04-23,,0.8789555555555554,
2005-04-24,0.8692333333333333,0.8692333333333333,
2005-04-25,0.8146,0.8146,
2005-04-26,0.8761935963967267,0.8761935963967267,
2005-04-27,0.8429111111111112,0.8429111111111112,
2005-04-28,0.8175677495598793,0.8175677495598793,
2005-04-29,0.8141444444444444,0.8141444444444444,
2005-04-30,,0.8141444444444444,
2005-05-01,,0.8206722222222221,
2005-05-02,0.7635555555555555,0.7635555555555555,
2005-05-03,,0.8843166666666665,
2005-05-04,1.0050777777777775,1.0050777777777775,
2005-05-05,0.9155333333333332,0.9155333333333332,MO
2005-05-06,0.9344666666666668,0.9344666666666668,
2005-05-07,0.8906333333333334,0.8906333333333334,
2005-05-08,0.9484333333333334,0.9484333333333334,
2005-05-09,0.9078111111111112,0.9078111111111112,
2005-05-10,,0.8932777777777778,
2005-05-11,,0.8572401737011596,
2005-05-12,,0.8932777777777778,
2005-05-13,,0.7827578770355832,
2005-05-14,0.7154760766590342,0.7154760766590342,
2005-05-15,0.8932777777777778,0.8932777777777778,
2005-05-16,0.4859555555555556,0.4859555555555556,
2005-05-17,0.7262666666666667,0.7262666666666667,
2005-05-18,0.3641333333333333,0.3641333333333333,
2005-05-19,0.5325666666666666,0.5325666666666666,
2005-05-20,0.55715,0.55715,
2005-05-21,0.5194222222222222,0.5194222222222222,
2005-05-22,0.5486333333333333,0.5486333333333333,
2005-05-23,0.5389777777777778,0.5389777777777778,
2005-05-24,0.5363888888888889,0.5363888888888889,
2005-05-25,0.5750888888888889,0.5750888888888889,
2005-05-26,0.5646111111111111,0.5646111111111111,
2005-05-27,0.3992333333333333,0.3992333333333333,
2005-05-28,0.3916848883278229,0.3916848883278229,
2005-05-29,0.4202444444444444,0.4202444444444444,
2005-05-30,0.4257997667367642,0.4257997667367642,
2005-05-31,0.2268666666666666,0.2268666666666666,
2005-06-01,0.3954111111111111,0.3954111111111111,
2005-06-02,0.2623,0.2623,
2005-06-03,0.2841,0.2841,
2005-06-04,0.2231242675334215,0.2231242675334215,
2005-06-05,,0.2227332226710738,
2005-06-06,0.2223421778087262,0.2223421778087262,
2005-06-07,0.2375333333333333,0.2375333333333333,
2005-06-08,0.2304833333333333,0.2304833333333333,PO
2005-06-09,0.1543666666666666,0.1543666666666666,
2005-06-10,0.1401333333333333,0.1401333333333333,
2005-06-11,,0.1401333333333333,
2005-06-12,,0.134411111111111,
2005-06-13,,0.1176555555555555,
2005-06-14,,0.124856746031746,
2005-06-15,0.1087333333333333,0.1087333333333333,
2005-06-16,,0.1176555555555555,
2005-06-17,0.1265777777777778,0.1265777777777778,
2005-06-18,,0.1288305555555555,
2005-06-19,0.1310833333333333,0.1310833333333333,
2005-06-20,,0.1156787037037037,
2005-06-21,,0.1310833333333333,
2005-06-22,0.0871222222222222,0.0871222222222222,
2005-06-23,0.1311,0.1311,
2005-06-24,0.0766666666666666,0.0766666666666666,
2005-06-25,0.1233777777777777,0.1233777777777777,
2005-06-26,,0.1958222222222221,
2005-06-27,0.2682666666666666,0.2682666666666666,
2005-06-28,0.1492555555555555,0.1492555555555555,
2005-06-29,0.1497222222222222,0.1497222222222222,
2005-06-30,0.1342666666666666,0.1342666666666666,
2005-07-01,,0.1342666666666666,
2005-07-02,,0.1338499999999999,
2005-07-03,,0.1334333333333333,
2005-07-04,0.1334333333333333,0.1334333333333333,
2005-07-05,0.0945222222222222,0.0945222222222222,
2005-07-06,,0.0990111111111111,
2005-07-07,0.1035,0.1035,
2005-07-08,0.124444061384797,0.124444061384797,
2005-07-09,0.1157,0.1157,
2005-07-10,,0.1204475096020054,
2005-07-11,,0.124444061384797,
2005-07-12,,0.1305777777777777,
2005-07-13,,0.1454555555555555,
2005-07-14,0.1454555555555555,0.1454555555555555,
2005-07-15,,0.2374166666666666,
2005-07-16,,0.2374166666666666,
2005-07-17,,0.1454555555555555,
2005-07-18,0.3293777777777777,0.3293777777777777,
2005-07-19,0.0495555555555555,0.0495555555555555,
2005-07-20,,0.1030277777777777,
2005-07-21,0.1565,0.1565,
2005-07-22,,0.1295796296296296,
