system:time_start,B1,B1_interpolate,B1_phenology
2004-02-06,0.29554,0.29554,
2004-02-07,,,
2004-02-08,,0.5598422222222222,
2004-02-09,,0.6073031111111111,
2004-02-10,0.8241444444444445,0.8241444444444445,
2004-02-11,,0.7270444444444444,
2004-02-12,0.6299444444444444,0.6299444444444444,
2004-02-13,0.7737777777777778,0.7737777777777778,
2004-02-14,0.7755666666666667,0.7755666666666667,
2004-02-15,0.5979222222222222,0.5979222222222222,
2004-02-16,,0.6764236111111112,
2004-02-17,0.7549250000000001,0.7549250000000001,
2004-02-18,,0.7296425,
2004-02-19,0.70436,0.70436,
2004-02-20,,0.75373,
2004-02-21,,0.7336725102880659,
2004-02-22,,0.75373,
2004-02-23,,0.729037037037037,
2004-02-24,,0.75373,
2004-02-25,,0.75373,
2004-02-26,,0.7875,
2004-02-27,,0.7816983950617284,
2004-02-28,,0.8031,
2004-02-29,,0.7970571769547325,
2004-03-01,,0.8031,
2004-03-02,0.8031,0.8031,
2004-03-03,0.7875,0.7875,
2004-03-04,0.8086222222222222,0.8086222222222222,
2004-03-05,,0.8086222222222222,
2004-03-06,,0.8281211111111111,
2004-03-07,,0.84762,
2004-03-08,0.84762,0.84762,
2004-03-09,,0.8621266666666667,
2004-03-10,0.8766333333333334,0.8766333333333334,
2004-03-11,0.5828222222222222,0.5828222222222222,
2004-03-12,0.8542285490433374,0.8542285490433374,
2004-03-13,,0.8390087189661132,
2004-03-14,0.8237888888888889,0.8237888888888889,
2004-03-15,,0.8237888888888889,
2004-03-16,,0.7718111111111111,
2004-03-17,,0.7718111111111111,
2004-03-18,0.7198333333333333,0.7198333333333333,
2004-03-19,,0.7483,
2004-03-20,,0.7340666666666666,
2004-03-21,,0.7340666666666666,
2004-03-22,,0.7718841919191918,
2004-03-23,0.7483,0.7483,
2004-03-24,,0.7661251234567902,
2004-03-25,,0.7483,
2004-03-26,,0.7828685416666668,
2004-03-27,,0.7760916666666666,
2004-03-28,,0.8038833333333333,
2004-03-29,,0.8587733333333333,
2004-03-30,,0.8303481851851853,
2004-03-31,,0.85808,
2004-04-01,,0.8275254142554013,
2004-04-02,0.8594666666666667,0.8594666666666667,
2004-04-03,,0.8587733333333333,
2004-04-04,,0.8587733333333334,
2004-04-05,,0.850992,
2004-04-06,0.85808,0.85808,
2004-04-07,,0.8455733333333333,
2004-04-08,0.8330666666666666,0.8330666666666666,
2004-04-09,0.8512111111111111,0.8512111111111111,
2004-04-10,0.8568666666666667,0.8568666666666667,
2004-04-11,0.7664135605037212,0.7664135605037212,
2004-04-12,0.8428,0.8428,
2004-04-13,0.7652764315668742,0.7652764315668742,
2004-04-14,0.8360333333333333,0.8360333333333333,
2004-04-15,0.8506888888888889,0.8506888888888889,
2004-04-16,0.8274,0.8274,
2004-04-17,0.8461222222222222,0.8461222222222222,
2004-04-18,0.8399888888888889,0.8399888888888889,
2004-04-19,0.8659444444444444,0.8659444444444444,
2004-04-20,0.8278555555555556,0.8278555555555556,
2004-04-21,0.8465111111111111,0.8465111111111111,
2004-04-22,0.8243444444444444,0.8243444444444444,
2004-04-23,0.8181,0.8181,
2004-04-24,0.8282888888888889,0.8282888888888889,
2004-04-25,0.8536666666666667,0.8536666666666667,
2004-04-26,0.8372555555555555,0.8372555555555555,
2004-04-27,0.7059666666666666,0.7059666666666666,
2004-04-28,,0.703226572411855,
2004-04-29,0.7004864781570435,0.7004864781570435,
2004-04-30,,0.7059666666666666,
2004-05-01,,0.7703987946340773,
2004-05-02,,0.7703987946340773,
2004-05-03,0.8403111111111111,0.8403111111111111,
2004-05-04,,0.8059322222222223,
2004-05-05,,0.8089228511869642,
2004-05-06,,0.8346055555555556,
2004-05-07,,0.8059322222222223,
2004-05-08,,0.8059322222222223,
2004-05-09,0.8289,0.8289,
2004-05-10,0.7704666666666666,0.7704666666666666,MO
2004-05-11,0.7553777777777777,0.7553777777777777,
2004-05-12,0.7615222222222222,0.7615222222222222,
2004-05-13,,0.7332346869359414,
2004-05-14,,0.7301333333333333,
2004-05-15,0.6828040608078242,0.6828040608078242,
2004-05-16,0.7301333333333333,0.7301333333333333,
2004-05-17,0.776875,0.776875,
2004-05-18,,0.7066380849403805,
2004-05-19,,0.7066380849403805,
2004-05-20,,0.6129059214878082,
2004-05-21,,0.6355595135118091,
2004-05-22,0.6129059214878082,0.6129059214878082,
2004-05-23,0.6099666666666667,0.6099666666666667,
2004-05-24,,0.579863888888889,
2004-05-25,,0.5497611111111111,
