system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,,,,,,,,,,,,,,,
01-19,,,,,,,,,,,,,,,,,,,,,,,
01-20,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,,,,,,,,,,,,,,,,,
01-22,,,,,,,,,,,,,,,,,,,,,,,
01-23,,,,,,,,,,,,,,,,,,,,,,,
01-24,,,,,,,,,,,,,,,,,,,,,,,
01-25,,,,,,,,,,,,,,,,,,,,,,,
01-26,,,,,,,,,,,,,,,,,,,,,,,
01-27,,,,,,,,,,,,,,,,,,,,,,,
01-28,,,,,,,,,,,,,,,,,,,,,,,
01-29,,,,,,,,,,,,,,,,,,,,,,,
01-30,,,,,,,,,,,,,,,,,,,,,,,
01-31,,,,,,,,,,,,,,,,,,,,,,,
02-01,,,,,,,,,,,,,,,,,,,,,,,
02-02,,,,,,,,,,,,,,,,,,,,,,,
02-03,,,,,,,,,,,,,,,,,0.0358,,,,,,
02-04,,,,,0.0268,,,,0.4459333333333333,,,,,,,,,0.4955,,,,,
02-05,,,,,,,,0.5493666666666667,,,,,,0.7255333333333334,,,0.4258111111111111,,0.5640833333333334,,,,0.5902444444444445
02-06,,0.5586777777777778,,,0.31895555555555555,0.7544,0.45738,,,0.9211,0.53806,,,0.8394111111111111,,,,0.8539777777777777,0.39775,0.4548,0.5107222222222222,0.36625555555555556,0.3667
02-07,,0.7707,,,0.8888777777777778,,0.8676611111111111,0.5261777777777777,,,0.9739,0.7241388888888889,0.7253944444444445,,0.5547249999999999,0.8233222222222222,0.7570277777777777,0.6917222222222222,,0.8841111111111111,0.9101611111111111,,0.8481615384615384
