system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,,,,,,,,,,,,,,,
01-19,,,,,,,,,,,,,,,,,,,,,,,
01-20,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,,,,,,,,,,,,,,,,,
01-22,,,,,,,,,,,,,,,,,,,,,,,
01-23,,,,,,,,,,,,,,,,,,,,,,,
01-24,,,,,,,,,,,,,,,,,,,,,,,
01-25,,,,,,,,,,,,,,,,,,,,,,,
01-26,,,,,,,,,,,,,,,,,,,,,,,
01-27,,,,,,,,,,,,,,,,,,,,,,,
01-28,,,,,,,,,,,,,,,,,,,,,,,
01-29,,,,,,,,,,,,,,,,,,,,,,,
01-30,,,,,,,,,,,,,,,,,,0.4261888888888889,,,,0.43116,
01-31,,,,0.420625,,,,0.150925,,,,,,0.532,,,,,,,,,
02-01,,,0.521,,,,0.35159999999999997,,,0.08284444444444444,,,,,,,,,,,,,
02-02,,0.44508,,,,0.5485333333333333,0.5367888888888889,,,,0.5416111111111112,,,,0.5689888888888889,0.4826888888888889,,0.5498888888888889,,0.5081,,0.6231,
02-03,,0.690875,,0.4515888888888889,,,0.6556777777777778,0.5205,,0.5201,0.62654,0.4036222222222222,0.3425875,0.56375,0.7686277777777778,0.480925,0.5123888888888889,,0.54466,0.83553,,0.8670333333333333,0.5397444444444445
02-04,,,,0.73612,0.5583384615384616,,,0.86084,,0.8550777777777777,,,,0.7705611111111111,0.7870071428571429,0.9182222222222222,0.911464705882353,,,,,,
