system:time_start,2017,2018,2019,2020,2021,2022,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
02-09,0.6845,0.7164384615384616,,,0.4498999999999999,0.8503733333333333,0.6845,0.7164384615384616,0.543280065359477,0.8691555555555555,0.4498999999999999,0.8503733333333333,,,,,,
02-10,0.8223777777777778,,0.4807823529411764,0.8986999999999999,0.8804777777777778,0.8286,0.8223777777777778,0.7164384615384616,0.4807823529411764,0.8986999999999999,0.8804777777777778,0.8286,,,,,,
02-11,0.8282642857142857,,,,0.8566111111111111,0.83187,0.8282642857142857,0.755199592999593,0.5832286764705882,0.8537388888888888,0.8566111111111111,0.83187,,,,,,
02-12,0.8359277777777778,0.7758888888888889,0.685675,0.8087777777777778,0.8570666666666666,0.7924666666666667,0.8359277777777778,0.7758888888888889,0.685675,0.8087777777777778,0.8570666666666666,0.7924666666666667,,,,,,
02-13,0.8573928571428572,0.7732714285714286,0.83535,0.8659857142857142,0.90075,0.8387375,0.8573928571428572,0.7732714285714286,0.83535,0.8659857142857142,0.90075,0.8387375,,,,,,
02-14,,0.8292625,,0.8404555555555555,0.8530444444444445,0.6580555555555555,0.8223777777777778,0.8292625,0.8257,0.8404555555555555,0.8530444444444445,0.6580555555555555,,,,,,
02-15,,0.811,0.8160499999999999,0.62272,0.8586055555555555,,0.8204774665421725,0.811,0.8160499999999999,0.62272,0.8586055555555555,0.7296008333333333,,,,,,
02-16,,,0.8024,,0.7179222222222222,,0.7935222222222222,0.817996875,0.8024,0.8303666666666667,0.7179222222222222,0.6722666666666666,,,,,,
02-17,,0.82499375,0.8513777777777778,,,,0.7751982958995564,0.82499375,0.8513777777777778,0.7656688888888888,0.7696916666666667,0.7337469444444444,,,,,,
02-18,0.7681117647058824,,0.8567666666666667,0.8303666666666667,0.8214611111111111,0.6864777777777777,0.7681117647058824,0.817996875,0.8567666666666667,0.8303666666666667,0.8214611111111111,0.6864777777777777,,,,,,
02-19,0.7935222222222222,,0.85685,0.84392,0.710809090909091,0.7985222222222222,0.7935222222222222,0.7559145833333334,0.85685,0.84392,0.710809090909091,0.7985222222222222,,,,,,
02-20,0.6824307692307692,0.6193166666666666,0.8404833333333334,0.51735,,0.8534125,0.6824307692307692,0.6193166666666666,0.8404833333333334,0.51735,0.8214611111111111,0.8534125,,,,,,
02-21,,0.8234333333333334,0.8597333333333333,0.8178777777777778,,0.7663,0.7109307692307691,0.8234333333333334,0.8597333333333333,0.8178777777777778,0.8047782154882155,0.7663,,,,,,
02-22,0.7394307692307692,0.8487333333333333,,0.8577400000000001,0.8394055555555555,0.8427125,0.7394307692307692,0.8487333333333333,0.8578600000000001,0.8577400000000001,0.8394055555555555,0.8427125,,,,,,
02-23,,0.8003375,0.8559866666666667,0.8363833333333333,0.86412,,0.7977903846153847,0.8003375,0.8559866666666667,0.8363833333333333,0.86412,0.8232562499999998,,,,,,
02-24,0.85615,,0.8329230769230769,0.8580941176470588,0.6572888888888889,,0.85615,0.8215076388888889,0.8329230769230769,0.8580941176470588,0.6572888888888889,0.8321895833333333,,,,,,
02-25,0.7057,0.8426777777777777,,,0.8139,,0.7057,0.8426777777777777,0.8329230769230769,0.8276748366013071,0.8139,0.8298245833333333,,,,,,
02-26,0.8463727272727273,0.5781444444444445,,0.7972555555555556,,0.8216666666666667,0.8463727272727273,0.5781444444444445,0.7873805494505494,0.7972555555555556,0.8394055555555555,0.8216666666666667,,,,,,
02-27,0.8369222222222222,0.4195,0.6722400000000001,0.8131625,,0.8308875,0.8369222222222222,0.4195,0.6722400000000001,0.8131625,0.7729055555555555,0.8308875,,,,,,
02-28,,0.7719117647058823,0.8569785714285715,0.8141555555555555,,,0.8369222222222222,0.7719117647058823,0.8569785714285715,0.8141555555555555,0.8475277777777778,0.8216666666666667,,,,,,
02-29,,,,0.776,,,0.7875792824074074,0.813933660130719,0.8441392857142858,0.776,0.8423176587301587,0.7435321296296297,,,,,,
03-01,0.80519375,0.8559555555555556,0.8313,0.7990333333333334,0.8475277777777778,0.54202,0.80519375,0.8559555555555556,0.8313,0.7990333333333334,0.8475277777777778,0.54202,,,,,,
03-02,,0.8483444444444445,,0.7283999999999999,0.8726333333333334,0.857688888888889,0.720621875,0.8483444444444445,0.8441392857142858,0.7283999999999999,0.8726333333333334,0.857688888888889,,,,,,
03-03,0.63605,,,0.81955,,0.8644555555555555,0.63605,0.8544597222222222,0.7998037037037037,0.81955,0.8714541666666666,0.8644555555555555,,,,,,
03-04,,0.860575,0.8716,,0.870275,,0.7926855906824656,0.860575,0.8716,0.85755,0.870275,0.7266134444444444,,,,,,
03-05,,,0.6965111111111111,0.8955500000000001,,,0.7875792824074074,0.860575,0.6965111111111111,0.8955500000000001,0.8726333333333334,0.7444527777777777,,,,,,
03-06,,,0.5768428571428571,,,,0.7447447916666666,0.9077430555555556,0.5768428571428571,0.86395,0.8728166666666667,0.7257326666666667,,,,,,
03-07,,,,,,0.62445,0.8775625,0.8839052287581699,0.7412384126984126,0.8851411764705882,0.8733319444444445,0.62445,,,,,,
03-08,,0.954911111111111,,0.83875,,0.74857,0.8088030715811966,0.954911111111111,0.7126936507936508,0.83875,0.8824895707070708,0.74857,,,,,,
03-09,,0.8688222222222222,,0.8851411764705882,,,0.8088030715811966,0.8688222222222222,0.785971746031746,0.8851411764705882,0.8824895707070708,0.6467350000000001,,,,,,
03-10,0.8775625,,0.8485444444444444,0.8755111111111111,0.8763888888888889,0.5449,0.8775625,0.8839052287581699,0.8485444444444444,0.8755111111111111,0.8763888888888889,0.5449,,,,,,
03-11,0.8835555555555555,0.8989882352941176,0.8951277777777777,0.888225,0.9050909090909092,0.8832785714285715,0.8835555555555555,0.8989882352941176,0.8951277777777777,0.888225,0.9050909090909092,0.8832785714285715,,,,,,
03-12,0.8626,0.6810666666666667,0.89665,,0.8873611111111112,0.8912466666666666,0.8626,0.6810666666666667,0.89665,0.8869458333333333,0.8873611111111112,0.8912466666666666,,,,,,
03-13,,0.9059,0.93175,0.8856666666666667,0.8854875,,0.7795461538461539,0.9059,0.93175,0.8856666666666667,0.8854875,0.8902983333333333,,,,,,
03-14,0.6964923076923076,0.9071125,0.8769666666666667,0.6787888888888889,0.89995,0.88935,0.6964923076923076,0.9071125,0.8769666666666667,0.6787888888888889,0.89995,0.88935,,,,,,
03-15,,0.9185666666666666,0.8912384615384615,0.7537666666666667,,,0.8413718589743588,0.9185666666666666,0.8912384615384615,0.7537666666666667,0.8989892857142857,0.8902983333333333,,,,,,
03-16,,,0.6840222222222222,0.882,0.8980285714285714,,0.8056444230769231,0.9120291666666668,0.6840222222222222,0.882,0.8980285714285714,0.894276923076923,,,,,,
03-17,,0.9054916666666668,0.8933714285714286,0.9603,,0.9050307692307692,0.7953586538461539,0.9054916666666668,0.8933714285714286,0.9603,0.9015942857142856,0.9050307692307692,,,,,,
03-18,,,0.835825,0.8892625,0.90516,0.88845,0.8413718589743588,0.9060202777777778,0.835825,0.8892625,0.90516,0.88845,,,,,,
03-19,,,,0.8930250000000001,0.8973222222222222,0.80613,0.894225,0.90054,0.8324898665223666,0.8930250000000001,0.8973222222222222,0.80613,,,,,,
03-20,0.894225,0.90054,,,,0.9156666666666666,0.894225,0.90054,0.8616852272727273,0.8580553571428572,0.900744074074074,0.9156666666666666,,,,,,
03-21,0.9133888888888888,0.5216888888888889,,,,0.8348722222222222,0.9133888888888888,0.5216888888888889,0.8723216818181818,0.8787,0.8993249999999999,0.8348722222222222,,,,,,
03-22,,0.9117222222222222,0.8875454545454545,0.7918785714285714,0.8997499999999999,0.8952,0.9073944444444444,0.9117222222222222,0.8875454545454545,0.7918785714285714,0.8997499999999999,0.8952,,,,,,
03-23,0.9014,0.90984,0.89898,0.8787,0.8993249999999999,0.8016888888888889,0.9014,0.90984,0.89898,0.8787,0.8993249999999999,0.8016888888888889,,,,,,
03-24,0.9047555555555556,0.9052,0.8775727272727273,,0.8879333333333334,,0.9047555555555556,0.9052,0.8775727272727273,0.8669476345083489,0.8879333333333334,0.8563051111111111,,,,,,
03-25,0.8969,0.8878125,,,,,0.8969,0.8878125,0.8969786868686868,0.8701,0.9008,0.8504844444444444,,,,,,
03-26,0.8967,,,,0.9136666666666666,,0.8967,0.8918173611111111,0.8781222222222222,0.8468928571428571,0.9136666666666666,0.8835169166666667,,,,,,
03-27,0.9064181818181818,0.8958222222222222,0.9143833333333332,,0.8844333333333334,0.89928,0.9064181818181818,0.8958222222222222,0.9143833333333332,0.8787,0.8844333333333334,0.89928,,,,,,
03-28,0.9111411764705882,,0.8781222222222222,,,0.9416875,0.9111411764705882,0.9102020833333334,0.8781222222222222,0.881009693877551,0.8901682539682542,0.9416875,,,,,,
03-29,0.90371,,,,,,0.90371,0.9042277777777776,0.8174444444444444,0.881009693877551,0.8844333333333334,0.92444375,,,,,,
03-30,0.8753555555555556,0.9429666666666668,0.7567666666666667,0.8701,,0.9072,0.8753555555555556,0.9429666666666668,0.7567666666666667,0.8701,0.8866111111111111,0.9072,,,,,,
03-31,,0.9042277777777776,0.9182555555555556,,,0.9119333333333334,0.8753555555555556,0.9042277777777776,0.9182555555555556,0.886575,0.8866111111111111,0.9119333333333334,,,,,,
04-01,,,,0.90305,0.8733,0.9041111111111112,0.8414777777777778,0.8984005555555555,0.8505599206349206,0.90305,0.8733,0.9041111111111112,,,,,,
04-02,0.8076,,0.7828642857142857,,0.9021,0.9141555555555556,0.8076,0.8816027777777777,0.7828642857142857,0.90305,0.9021,0.9141555555555556,,,,,,
04-03,,,0.8449266666666666,,0.9233166666666668,0.9010555555555556,0.8567071428571428,0.8931011111111111,0.8449266666666666,0.9082361111111112,0.9233166666666668,0.9010555555555556,,,,,,
04-04,,0.8589777777777777,0.8928666666666667,,0.897988888888889,0.6563111111111111,0.8567071428571428,0.8589777777777777,0.8928666666666667,0.9108291666666668,0.897988888888889,0.6563111111111111,,,,,,
04-05,0.9058142857142856,0.9171416666666666,,0.9134222222222222,0.9129117647058824,,0.9058142857142856,0.9171416666666666,0.8988805555555556,0.9134222222222222,0.9129117647058824,0.833364417989418,,,,,,
04-06,,,0.9048944444444444,0.9184055555555556,0.9178375,,0.8885944155844155,0.9035555555555556,0.9048944444444444,0.9184055555555556,0.9178375,0.831425,,,,,,
04-07,,,0.90584,,0.9083777777777776,,0.8885944155844155,0.8591638888888888,0.90584,0.9214502859477124,0.9083777777777776,0.7950675925925926,,,,,,
04-08,,0.9035555555555556,0.9073222222222224,,,,0.9098525974025974,0.9035555555555556,0.9073222222222224,0.9241263071895426,0.9083777777777776,0.831425,,,,,,
04-09,,0.7567944444444444,,,,0.831425,0.9125333362193364,0.7567944444444444,0.90584,0.9263413398692812,0.9069855555555556,0.831425,,,,,,
04-10,,0.9096,,0.9298470588235296,,0.8974666666666666,0.9125333362193364,0.9096,0.8136148148148149,0.9298470588235296,0.9083777777777776,0.8974666666666666,,,,,,
04-11,0.9138909090909092,0.9422222222222222,0.7279,0.9322277777777778,0.9055933333333334,,0.9138909090909092,0.9422222222222222,0.7279,0.9322277777777778,0.9055933333333334,0.9036666666666668,,,,,,
04-12,0.9235555555555556,0.9072833333333332,,0.9271,0.9217428571428572,0.9098666666666668,0.9235555555555556,0.9072833333333332,0.8056222222222222,0.9271,0.9217428571428572,0.9098666666666668,,,,,,
04-13,0.9095533333333332,,0.8833444444444445,0.9154777777777778,0.9120722222222222,,0.9095533333333332,0.9143583333333332,0.8833444444444445,0.9154777777777778,0.9120722222222222,0.9105777777777778,,,,,,
04-14,0.922070588235294,0.9214333333333332,0.90062,0.8804764705882353,,0.9112888888888888,0.922070588235294,0.9214333333333332,0.90062,0.8804764705882353,0.7823861111111111,0.9112888888888888,,,,,,
04-15,0.9269111111111112,0.9201444444444444,0.8823833333333333,0.9136611111111111,0.6527000000000001,,0.9269111111111112,0.9201444444444444,0.8823833333333333,0.9136611111111111,0.6527000000000001,0.8816680555555556,,,,,,
04-16,0.9104888888888888,0.9001444444444444,0.9184611111111112,0.9233,,,0.9104888888888888,0.9001444444444444,0.9184611111111112,0.9233,0.7835000000000001,0.9112888888888888,,,,,,
04-17,0.9237166666666666,0.9414333333333332,0.8673307692307692,0.9188882352941176,0.9143,0.8231375,0.9237166666666666,0.9414333333333332,0.8673307692307692,0.9188882352941176,0.9143,0.8231375,,,,,,
04-18,0.7700611111111111,,0.9378944444444444,0.9161222222222224,,0.9156533333333332,0.7700611111111111,0.9312738095238096,0.9378944444444444,0.9161222222222224,0.8530115384615384,0.9156533333333332,,,,,,
04-19,0.9180111111111112,0.9211142857142858,0.9162666666666668,0.95947,0.7917230769230769,,0.9180111111111112,0.9211142857142858,0.9162666666666668,0.95947,0.7917230769230769,0.90336,,,,,,
04-20,0.9072388888888888,0.91425,,,,0.8910666666666667,0.9072388888888888,0.91425,0.90785,0.892965,0.8659615384615384,0.8910666666666667,,,,,,
04-21,,0.9218,0.8994333333333333,0.82646,0.9402,0.8886700000000001,0.9190232905982908,0.9218,0.8994333333333333,0.82646,0.9402,0.8886700000000001,,,,,,
04-22,0.9308076923076924,0.9192222222222222,0.82165,,1.0345,,0.9308076923076924,0.9192222222222222,0.82165,0.892965,1.0345,0.9047320588235296,,,,,,
04-23,0.9145333333333332,0.9095555555555556,,,0.8319,0.9207941176470588,0.9145333333333332,0.9095555555555556,0.7746392857142856,0.8953454166666667,0.8319,0.9207941176470588,,,,,,
04-24,0.9248,0.8845,0.7276285714285714,0.93480625,,0.9214444444444444,0.9248,0.8845,0.7276285714285714,0.93480625,0.8757235294117647,0.9214444444444444,,,,,,
04-25,,0.9197176470588236,0.92132,0.92477,0.9195470588235294,0.9313714285714284,0.9260777777777778,0.9197176470588236,0.92132,0.92477,0.9195470588235294,0.9313714285714284,,,,,,
04-26,0.9273555555555556,0.9268222222222222,0.9318333333333332,0.90942,,0.9107111111111112,0.9273555555555556,0.9268222222222222,0.9318333333333332,0.90942,0.919831862745098,0.9107111111111112,,,,,,
04-27,0.83955,0.9366722222222222,0.7242529411764705,0.7766,0.9201166666666668,,0.83955,0.9366722222222222,0.7242529411764705,0.7766,0.9201166666666668,0.9153333333333334,,,,,,
04-28,0.9191666666666668,0.9314444444444444,0.6576333333333333,0.94330625,0.9303222222222222,0.9199555555555556,0.9191666666666668,0.9314444444444444,0.6576333333333333,0.94330625,0.9303222222222222,0.9199555555555556,,,,,,
04-29,0.8892333333333333,0.9226166666666666,0.9400888888888888,0.6529,,0.92825,0.8892333333333333,0.9226166666666666,0.9400888888888888,0.6529,0.9304027777777776,0.92825,,,,,,
04-30,,0.95791875,1.090325,0.9359388888888888,0.9304833333333332,0.9187611111111113,0.9099754901960784,0.95791875,1.090325,0.9359388888888888,0.9304833333333332,0.9187611111111113,,,,,,
05-01,0.9307176470588236,0.9365888888888888,,0.9252944444444444,0.9247916666666668,0.9207166666666666,0.9307176470588236,0.9365888888888888,0.9987263888888888,0.9252944444444444,0.9247916666666668,0.9207166666666666,,,,,,
05-02,0.8594666666666667,0.9485444444444444,0.9071277777777778,,0.9416888888888888,0.9087272727272728,0.8594666666666667,0.9485444444444444,0.9071277777777778,0.9359388888888888,0.9416888888888888,0.9087272727272728,,,,,,
05-03,0.9313,,0.9285222222222222,,0.98838,0.9215222222222222,0.9313,0.9369755555555556,0.9285222222222222,0.9500322780501088,0.98838,0.9215222222222222,,,,,,
05-04,0.91104,0.9254066666666668,,0.95019375,,0.9254277777777776,0.91104,0.9254066666666668,0.9070111111111112,0.95019375,0.9356833333333332,0.9254277777777776,,,,,,
05-05,0.9309222222222222,0.9515388888888888,0.8855,,,,0.9309222222222222,0.9515388888888888,0.8855,0.9746086397058824,0.9433954320987652,0.9195203703703704,MO,,,,,
05-06,,0.93677,0.9407277777777778,0.9990235294117648,,,0.95675,0.93677,0.9407277777777778,0.9990235294117648,0.9416888888888888,0.9116111111111111,,,,,,
05-07,0.9825777777777778,0.9418,,,,0.9116111111111111,0.9825777777777778,0.9418,0.9323472222222222,0.9665784313725492,0.96194,0.9116111111111111,,,,,,
05-08,,0.9293166666666668,0.9239666666666666,0.9341333333333334,,0.9086,0.958558888888889,0.9293166666666668,0.9239666666666666,0.9341333333333334,0.9356833333333332,0.9086,,,,,,
05-09,0.93454,0.3767666666666666,0.7052944444444444,0.9396055555555556,,,0.93454,0.3767666666666666,0.7052944444444444,0.9396055555555556,0.9308980041152264,0.9092055555555556,,,,,,
05-10,0.53995,,0.6133666666666667,0.9309055555555557,,0.9098111111111112,0.53995,0.6599666666666667,0.6133666666666667,0.9309055555555557,0.9355916666666666,0.9098111111111112,,,,,,
05-11,,0.9431666666666668,,0.7961111111111111,0.9355,,0.7377805555555557,0.9431666666666668,0.7991284615384616,0.7961111111111111,0.9355,0.9087972222222224,,,,,,
05-12,0.9356111111111112,0.6063000000000001,,0.90028,,0.9077833333333334,0.9356111111111112,0.6063000000000001,0.7807022222222223,0.90028,0.9355916666666666,0.9077833333333334,,,,,,
05-13,,0.9404333333333332,,,0.9356833333333332,0.9014055555555556,0.9357388888888888,0.9404333333333332,0.7580833333333334,0.9303557576252725,0.9356833333333332,0.9014055555555556,,,,,,
05-14,0.9358666666666666,,,,0.8691888888888889,0.9016111111111113,0.9358666666666666,0.9366777777777776,0.7991284615384616,0.9309055555555557,0.8691888888888889,0.9016111111111113,,,,,,
05-15,0.8400722222222222,,,,,,0.8400722222222222,0.9366777777777776,0.8466615384615385,0.9165866049382716,0.8744259259259258,0.8996777777777778,,,,,,
05-16,0.9016363636363636,,0.9028,,,,0.9016363636363636,0.9366777777777776,0.9028,0.9258788888888888,0.8691888888888889,0.8960166666666667,,,,,,
05-17,0.75817,0.9329222222222222,,,0.8184055555555556,0.8960166666666667,0.75817,0.9329222222222222,0.8747307692307693,0.9258788888888888,0.8184055555555556,0.8960166666666667,,,,,,
05-18,0.9258142857142856,0.9427888888888888,0.8466615384615385,,0.9367277777777778,0.8741833333333333,0.9258142857142856,0.9427888888888888,0.8466615384615385,0.9450083333333332,0.9367277777777778,0.8741833333333333,,,,,,
05-19,0.6584111111111112,0.9050285714285714,,,0.8636999999999999,0.8611800000000001,0.6584111111111112,0.9050285714285714,0.8933616809116809,0.9312930478395062,0.8636999999999999,0.8611800000000001,,,,,,
05-20,,,,,,0.8443555555555555,0.6584111111111112,0.9050285714285714,0.8839233618233618,0.9385388888888888,0.8936333333333333,0.8443555555555555,,,,,,
05-21,,,,,0.9235666666666666,0.7625833333333333,0.5780722222222222,0.892087037037037,0.9303777777777776,0.9086516032763532,0.9235666666666666,0.7625833333333333,,,,,,
05-22,0.4977333333333333,,,0.9514777777777778,0.9280444444444444,,0.4977333333333333,0.9050285714285714,0.9041458587708588,0.9514777777777778,0.9280444444444444,0.8443555555555555,,,,,,
05-23,,,0.9303777777777776,,0.712175,,0.6049457163606183,0.8692132275132276,0.9303777777777776,0.9450083333333332,0.712175,0.8415027777777778,,,,,,
05-24,,,0.9324055555555556,,,,0.5138952380952381,0.9050285714285714,0.9324055555555556,0.9450083333333332,0.8256458333333334,0.8713176470588235,,,,,,MO
05-25,,,0.9051666666666668,,0.9391166666666668,0.9204222222222224,0.5138952380952381,0.8909055435305434,0.9051666666666668,0.904557986111111,0.9391166666666668,0.9204222222222224,,MO,,,,
05-26,,0.75295,,0.9385388888888888,0.9414384615384616,0.8905166666666666,0.4443309523809523,0.75295,0.9001083333333333,0.9385388888888888,0.9414384615384616,0.8905166666666666,,,MO,,,
05-27,,0.9496611111111112,0.8950499999999999,,0.83569,0.8713176470588235,0.4096731932773109,0.9496611111111112,0.8950499999999999,0.8236572916666666,0.83569,0.8713176470588235,,,,MO,,
05-28,,0.8599611111111112,,,0.8552333333333333,,0.3909285714285714,0.8599611111111112,0.897905227180227,0.7832069444444444,0.8552333333333333,0.8868111111111111,,,,,,
05-29,,,,,0.8593333333333333,,0.388690292561469,0.9173555555555556,0.8950499999999999,0.8242282852564102,0.8593333333333333,0.8329021786492374,,,,,MO,
05-30,0.3909285714285714,,,0.627875,,0.8868111111111111,0.3909285714285714,0.9012027777777778,0.8890070105820105,0.627875,0.8593333333333333,0.8868111111111111,,,,,,
05-31,,0.9424444444444444,,0.9472923076923075,,0.7405777777777778,0.3687672268907562,0.9424444444444444,0.8950499999999999,0.9472923076923075,0.9015666666666666,0.7405777777777778,,,,,,
06-01,,,,,0.9438,0.7503555555555556,0.3466058823529411,0.9337277777777778,0.8525796296296296,0.8923277777777777,0.9438,0.7503555555555556,,,,,,
06-02,0.3466058823529411,,,,,0.8370166666666666,0.3466058823529411,0.9370074074074074,0.8426888888888889,0.8447836894586894,0.9234611111111112,0.8370166666666666,,,,,,
06-03,0.3373333333333334,0.9250111111111112,,,,0.7934333333333333,0.3373333333333334,0.9250111111111112,0.7175597282347282,0.8923277777777777,0.9438,0.7934333333333333,PO,,,,,
06-04,,0.9435666666666668,,,0.9031222222222222,,0.3400723529411764,0.9435666666666668,0.82,0.9198100427350426,0.9031222222222222,0.7517291666666667,,,,,,
06-05,,0.951811111111111,0.8426888888888889,,,0.710025,0.3357166666666666,0.951811111111111,0.8426888888888889,0.8923277777777777,0.9480111111111112,0.710025,,,,,,
06-06,,0.8930882352941176,0.82,,0.9929,,0.3428905228758169,0.8930882352941176,0.82,0.8005503621686955,0.9929,0.5324625000000001,,,,,,
06-07,0.3341,0.8341333333333333,0.4062666666666666,,0.9119222222222222,0.3549,0.3341,0.8341333333333333,0.4062666666666666,0.8731111111111111,0.9119222222222222,0.3549,,,,,,
06-08,0.3656555555555555,0.8733764705882353,0.4493555555555555,0.8923277777777777,,0.4715555555555555,0.3656555555555555,0.8733764705882353,0.4493555555555555,0.8923277777777777,0.8875411111111111,0.4715555555555555,,,,,,
06-09,0.3416470588235294,0.7689,,0.8731111111111111,0.86316,,0.3416470588235294,0.7689,0.4892814814814814,0.8731111111111111,0.86316,0.5896715277777778,,,,,,
06-10,,0.7191888888888889,,0.8011181818181818,0.8659611111111111,0.7077875,0.3101852287581699,0.7191888888888889,0.5111888888888889,0.8011181818181818,0.8659611111111111,0.7077875,,,,,,
06-11,,,0.6122222222222222,0.40312,0.8357277777777777,,0.2837235294117647,0.4725444444444444,0.6122222222222222,0.40312,0.8357277777777777,0.6423508928571429,,,,,,
06-12,,0.2259,0.5111888888888889,,0.8273846153846154,0.5769142857142857,0.3176918954248365,0.2259,0.5111888888888889,0.5835182828282828,0.8273846153846154,0.5769142857142857,,,,,,
06-13,0.2258,0.3598444444444444,0.5211833333333333,,,0.4136555555555555,0.2258,0.3598444444444444,0.5211833333333333,0.4442,0.7435723076923078,0.4136555555555555,,,,,,
06-14,0.3097888888888889,,0.3421555555555555,0.5463166666666667,0.65976,0.1739230769230769,0.3097888888888889,0.2698222222222222,0.3421555555555555,0.5463166666666667,0.65976,0.1739230769230769,,,,,,
06-15,0.4275,0.1798,0.305,0.4442,0.2599,0.2347888888888888,0.4275,0.1798,0.305,0.4442,0.2599,0.2347888888888888,,,,,,
06-16,,0.16238125,0.3135428571428571,0.3551499999999999,0.4330277777777778,0.23695,0.4015833333333333,0.16238125,0.3135428571428571,0.3551499999999999,0.4330277777777778,0.23695,,,,,,
06-17,0.3756666666666666,0.3311571428571428,0.4366,0.3094,,0.1837055555555555,0.3756666666666666,0.3311571428571428,0.4366,0.3094,0.3292138888888889,0.1837055555555555,,,,,,
06-18,0.3976714285714285,0.207,,0.212125,0.2254,0.2154166666666666,0.3976714285714285,0.207,0.2982823529411764,0.212125,0.2254,0.2154166666666666,,,,,,
06-19,,0.208,0.1599647058823529,0.2794666666666666,0.3398375,0.2074888888888889,0.3976714285714285,0.208,0.1599647058823529,0.2794666666666666,0.3398375,0.2074888888888889,,,,,,
06-20,,0.1841294117647058,,0.2318444444444444,0.218025,0.1932166666666666,0.4200193650793651,0.1841294117647058,0.1217156862745097,0.2318444444444444,0.218025,0.1932166666666666,,,,,,
06-21,0.44972,0.1793,0.0834666666666666,0.2275555555555555,,0.21935,0.44972,0.1793,0.0834666666666666,0.2275555555555555,0.2992,0.21935,,,,,,
06-22,0.4126666666666667,0.1757461538461538,0.2463636363636363,0.16434,,0.2790588235294117,0.4126666666666667,0.1757461538461538,0.2463636363636363,0.16434,0.2856875,0.2790588235294117,,,,,,PO
06-23,0.4191294117647058,0.1670555555555555,0.2236999999999999,0.2152555555555555,,,0.4191294117647058,0.1670555555555555,0.2236999999999999,0.2152555555555555,0.2992,0.2605088235294117,PD,PO,,,,
06-24,,0.1446,0.2465,0.4648,,0.2419588235294117,0.3976523965141612,0.1446,0.2465,0.4648,0.3062089285714285,0.2419588235294117,,,PO,,,
06-25,,0.2068111111111111,0.2060733333333333,0.2146875,0.2992,0.2361,0.3611611111111111,0.2068111111111111,0.2060733333333333,0.2146875,0.2992,0.2361,,,,PO,PO,
06-26,0.3611611111111111,,0.09935,0.1835555555555555,0.4988166666666667,0.3596833333333333,0.3611611111111111,0.1918055555555555,0.09935,0.1835555555555555,0.4988166666666667,0.3596833333333333,,,,,,
